Date,AAPL,AMZN,GOOG,META,NFLX,TSLA
2023-08-17,174.0,133.979996,130.460007,285.089996,403.0,219.220001
2023-08-18,174.490005,133.220001,128.110001,283.25,404.529999,215.490005
2023-08-21,175.839996,134.679993,128.929993,289.899994,408.290009,231.279999
2023-08-22,177.229996,134.25,129.690002,287.600006,413.170013,233.190002
2023-08-23,181.119995,135.520004,133.210007,294.23999,427.549988,236.860001
2023-08-24,176.380005,131.839996,130.419998,286.75,406.929993,230.039993
2023-08-25,178.610001,133.259995,130.690002,285.5,416.029999,238.589996
2023-08-28,180.190002,133.139999,131.789993,290.26001,418.059998,238.820007
2023-08-29,184.119995,134.910004,135.490005,297.98999,429.98999,257.179993
2023-08-30,187.649994,135.070007,136.929993,295.100006,434.670013,256.899994
2023-08-31,187.869995,138.009995,137.350006,295.890015,433.679993,258.079987
2023-09-01,189.460007,138.119995,136.800003,296.380005,439.880005,245.009995
2023-09-05,189.699997,137.270004,136.710007,300.149994,448.679993,256.48999
2023-09-06,182.910004,135.360001,135.369995,299.170013,445.76001,251.919998
2023-09-07,177.559998,137.850006,136.199997,298.670013,443.140015,251.490005
2023-09-08,178.179993,138.229996,137.199997,297.890015,442.799988,248.5
2023-09-11,179.360001,143.100006,137.740005,307.559998,445.359985,273.579987
2023-09-12,176.300003,141.229996,136.070007,301.660004,434.690002,267.480011
2023-09-13,174.210007,144.850006,137.5,305.059998,412.23999,271.299988
2023-09-14,175.740005,144.720001,138.990005,311.720001,400.48999,276.040009
2023-09-15,175.009995,140.389999,138.300003,300.309998,396.940002,274.390015
2023-09-18,177.970001,139.979996,138.960007,302.549988,394.399994,265.279999
2023-09-19,179.070007,137.630005,138.830002,305.070007,396.200012,266.5
2023-09-20,175.490005,135.289993,134.589996,299.670013,386.299988,262.589996
2023-09-21,173.929993,129.330002,131.360001,295.730011,384.149994,255.699997
2023-09-22,174.789993,129.119995,131.25,299.079987,379.809998,244.880005
2023-09-25,176.080002,131.270004,132.169998,300.829987,384.799988,246.990005
2023-09-26,171.960007,125.980003,129.449997,298.959991,379.25,244.119995
